Sample	Acidaminococcaceae	Actinomycetaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Atopobiaceae	Bacillaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Corynebacteriales_unclassified	Debaryomycetaceae	Dermabacteraceae	Desulfovibrionaceae	Dysgonamonadaceae	Eggerthellaceae	Enterobacterales_unclassified	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Hafniaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Malasseziaceae	Micrococcaceae	Moraxellaceae	Morganellaceae	Mycoplasmataceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Saccharomycetaceae	Selenomonadaceae	Sphingobacteriaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Veillonellaceae	Xanthomonadaceae	Yersiniaceae
SRR3131742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.29262	1.8095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71085	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35775	0	0	0	84.82928	0	0
SRR3131744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.51029	31.44205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.35846	0	0	0	0	0	0	0	0.18886	0	0	0	31.50034	0	0
SRR3131746	0	0	0	0	0	0	0	0	0.18954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.98385	54.88003	0.00627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03354	0	0	0	0	0	0	0	5.037	0	0	0	0.04189	0	2.82789
SRR3131748	0	0	0	0	0	0	0	0	0	0	26.14949	0	0	0	0	0	0	0	0	5.58305	0	0	0	0	0	0	0	66.60955	1.38662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07036	0	0	0.04754	0	0	0.15339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR3131750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.54083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45917	0	0	0	0	0	0
SRR3131752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10732	0	0	0	0	0	0	0	0	0	0	0	36.89171	34.05857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26697	0	0	0	0	0	0	0	0.17296	0	0	0	21.50247	0	0
SRR3131754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR3131756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34218	0	0	0	0.14841	0	0	0	0	0	0	0	29.13211	1.97374	0	0	0	0	0	0	48.68493	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94999	0.84008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.92856	0	0
SRR3131758	0	0.0395	0	0	0	0	0	0	0	0	0.43534	0.00312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.36359	1.45674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15212	0	0	0	0	0	0	0	0	0	0.35322	0	0	0	0	0	0	0	0	0.02169	0	0	7.17469	0	0
SRR3131760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08619	0	0	0	0.01204	0	0	0	0	0	0	0	95.15526	1.11844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07206	0.53829	0	0	1.78695	0	0.23077	0	0	0	0	0	0	0	0	0	0	0	0
