Sample	Acinetobacter	Actinomyces	Aeriscardovia	Aeromonas	Anaerococcus	Anaerostipes	Anaerotruncus	Asaccharobacter	Atlantibacter	Atopobium	Bacteroides	Bifidobacterium	Blautia	Campylobacter	Candida	Citrobacter	Clostridioides	Clostridium	Collinsella	Coprobacillus	Corynebacterium	Cronobacter	Cutibacterium	Denitrobacterium	Dermabacter	Dialister	Eggerthella	Enorma	Enterobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Escherichia	Faecalibacterium	Finegoldia	Flavonifractor	Fusicatenibacter	Fusobacterium	Gemella	Gordonibacter	Granulicatella	Haemophilus	Hafnia	Intestinibacter	Klebsiella	Kluyvera	Lachnoclostridium	Lactobacillus	Lactococcus	Leclercia	Leuconostoc	Malassezia	Megasphaera	Mixta	Morganella	Morococcus	Mycoplasma	Negativicoccus	Neisseria	Pantoea	Parabacteroides	Paraclostridium	Peptococcus	Peptoniphilus	Peptostreptococcus	Pluralibacter	Prevotella	Proteus	Pseudomonas	Rahnella	Ralstonia	Raoultella	Rhodococcus	Roseburia	Rothia	Ruminococcaceae_unclassified	Ruthenibacterium	Scardovia	Serratia	Staphylococcus	Stenotrophomonas	Streptococcus	Terrisporobacter	Ureaplasma	Varibaculum	Veillonella
1057.01_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40065	0	0	0	0	0	0.54592	0.26756	0	0	11.91578	0	0	0	0	0	0	0	0	0	0	0	77.29499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.57509	0	0	0	0	0	0
1057.01_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48333	0	0	0	0	0	0	0	0	0	1.20135	0	0	0	0	0	77.62395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01127	0	0	0	0	20.06739	0	0.61271	0	0	0	0
1057.01_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39366	0	0	0	0	0	1.61495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.35396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61838	0	0.01906	0	0	0	0
1057.01_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10361	0	0	0	0	0	1.12432	0	0	0	0.01676	0	0	0	0	0	0.01965	0	0	0	0	0	96.84747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88818	0	0	0	0	0	0
1057.01_35a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25162	0	0	0	0	0	1.74862	0	0	0	0	0	0	0	0	0	0.05165	0	0	0	0	0	94.37408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5663	0	0.00773	0	0	0	0
1057.01_35b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41735	0	0	0	0	0	2.22057	0	0	0	0	0	0	0	0	0	0.04509	0	0	0	0	0	91.47383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84316	0	0	0	0	0	0
1057.01_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41086	0	0	0	0	0	1.74252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.94579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90084	0	0	0	0	0	0
1057.01_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77022	0	0	0	0	0	5.55476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.92072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7543	0	0	0	0	0	0
1057.01_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.52707	0	0	0	0	0	4.91226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.22892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33175	0	0	0	0	0	0
107.02_28	0	0	0	0	0.97245	0	0	0	0	0	0	0	0	0	0	0	0	0.14618	0	0	0.76857	0	0.56364	0	0	0.44645	0	0	0.26885	11.30162	0	0	0	0	0.52797	0	0	0	0	0	0	0	0	0	84.48789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35417	0	0.06381	0	0	0	0
